,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
1746,SPECIALITY,Speciality Restaurants Limited,EQ,30-MAY-2012,10,1,INE247M01014,10
1747,SPENCERS,Spencer's Retail Limited,EQ,25-JAN-2019,5,1,INE020801028,5
1748,SPIC,Southern Petrochemicals Industries Corporation  Limited,EQ,10-JAN-1996,10,1,INE147A01011,10
1749,SPLIL,SPL Industries Limited,EQ,26-JUL-2005,10,1,INE978G01016,10
1750,SPLPETRO,Supreme Petrochem Limited,EQ,24-MAY-2022,2,1,INE663A01033,2
1751,SPMLINFRA,SPML Infra Limited,BE,14-FEB-1996,2,1,INE937A01023,2
1752,SPORTKING,Sportking India Limited,EQ,24-AUG-2022,1,1,INE885H01029,1
1753,SRD,Shankar Lal Rampal Dye-Chem Limited,EQ,09-OCT-2024,10,1,INE01NE01012,10
1754,SREEL,Sreeleathers Limited,EQ,01-JAN-2014,10,1,INE099F01013,10
1755,SRF,SRF Limited,EQ,18-AUG-2003,10,1,INE647A01010,10
1756,SRGHFL,SRG Housing Finance Limited,EQ,21-AUG-2023,10,1,INE559N01010,10
1757,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,EQ,08-MAY-2007,10,1,INE917H01012,10
1758,SRM,SRM Contractors Limited,BE,03-APR-2024,10,1,INE0R6Z01013,10
1759,SRPL,Shree Ram Proteins Limited,BZ,23-SEP-2020,1,1,INE008Z01020,1
1760,SSDL,Saraswati Saree Depot Limited,EQ,20-AUG-2024,10,1,INE0PQ101010,10
1761,SSWL,Steel Strips Wheels Limited,EQ,06-JUN-2005,1,1,INE802C01033,1
1762,STALLION,Stallion India Fluorochemicals Limited,EQ,23-JAN-2025,10,1,INE0RYC01010,10
1763,STANLEY,Stanley Lifestyles Limited,EQ,28-JUN-2024,2,1,INE01A001028,2
1764,STAR,Strides Pharma Science Limited,EQ,02-FEB-2000,10,1,INE939A01011,10
1765,STARCEMENT,Star Cement Limited,EQ,16-JUN-2017,1,1,INE460H01021,1
1766,STARHEALTH,Star Health and Allied Insurance Company Limited,EQ,10-DEC-2021,10,1,INE575P01011,10
1767,STARPAPER,Star Paper Mills Limited,EQ,13-SEP-1995,10,1,INE733A01018,10
1768,STARTECK,Starteck Finance Limited,EQ,04-MAY-2022,10,1,INE992I01013,10
1769,STCINDIA,The State Trading Corporation of India Limited,EQ,01-APR-2003,10,1,INE655A01013,10
1770,STEELCAS,Steelcast Limited,EQ,23-NOV-2021,5,1,INE124E01020,5
1771,STEELCITY,Steel City Securities Limited,EQ,27-JUN-2019,10,1,INE395H01011,10
1772,STEELXIND,STEEL EXCHANGE INDIA LIMITED,EQ,20-JUL-2017,1,1,INE503B01021,1
1773,STEL,Stel Holdings Limited,EQ,09-FEB-2011,10,1,INE577L01016,10
1774,STERTOOLS,Sterling Tools Limited,EQ,02-FEB-2006,2,1,INE334A01023,2
1775,STLTECH,Sterlite Technologies Limited,EQ,08-DEC-2000,2,1,INE089C01029,2
1776,STOVEKRAFT,Stove Kraft Limited,EQ,05-FEB-2021,10,1,INE00IN01015,10
1777,STYLAMIND,Stylam Industries Limited,EQ,02-AUG-2021,5,1,INE239C01020,5
1778,STYLEBAAZA,Baazar Style Retail Limited,EQ,06-SEP-2024,5,1,INE01FR01028,5
1779,STYRENIX,Styrenix Performance Materials Limited,EQ,29-MAR-1995,10,1,INE189B01011,10
1780,SUBEXLTD,Subex Limited,EQ,05-NOV-2020,5,1,INE754A01055,5
1781,SUBROS,Subros Limited,EQ,13-JUL-2005,2,1,INE287B01021,2
1782,SUDARSCHEM,Sudarshan Chemical Industries Limited,EQ,25-MAY-1995,2,1,INE659A01023,2
1783,SUKHJITS,Sukhjit Starch & Chemicals Limited,EQ,07-NOV-2022,5,1,INE450E01029,5
1784,SULA,Sula Vineyards Limited,EQ,22-DEC-2022,2,1,INE142Q01026,2
1785,SUMICHEM,Sumitomo Chemical India Limited,EQ,27-JAN-2020,10,1,INE258G01013,10
1786,SUMIT,Sumit Woods Limited,EQ,30-JUL-2019,10,1,INE748Z01013,10
1787,SUMMITSEC,Summit Securities Limited,EQ,28-JAN-2011,10,1,INE519C01017,10
1788,SUNCLAY,Sundaram Clayton Limited,EQ,29-DEC-2023,5,1,INE0Q3R01026,5
1789,SUNDARAM,Sundaram Multi Pap Limited,EQ,02-JUN-2010,1,1,INE108E01023,1
1790,SUNDARMFIN,Sundaram Finance Limited,EQ,07-JAN-1998,10,1,INE660A01013,10
1791,SUNDARMHLD,Sundaram Finance Holdings Limited,EQ,26-MAR-2018,5,1,INE202Z01029,5
1792,SUNDRMBRAK,Sundaram Brake Linings Limited,BE,17-JUL-1996,10,1,INE073D01013,10
1793,SUNDRMFAST,Sundram Fasteners Limited,EQ,07-JUN-2000,1,1,INE387A01021,1
1794,SUNFLAG,Sunflag Iron And Steel Company Limited,BE,29-SEP-2005,10,1,INE947A01014,10
1795,SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,08-FEB-1995,1,1,INE044A01036,1
1796,SUNTECK,Sunteck Realty Limited,EQ,13-NOV-2009,1,1,INE805D01034,1
1797,SUNTV,Sun TV Network Limited,EQ,24-APR-2006,5,1,INE424H01027,5
